infinitive,past_simple,past_participle,translation,level
Abide,Abode/Abided,Abode/Abided,Demeurer,expert
Alight,Alit,Alit/Alighted,Descendre,expert
Arise,Arose,Arisen,Survenir,intermediate
Awake,Awoke,Awoken,S'éveiller,intermediate
Be,Was/Were,Been,Être,beginner
Bear,Bore,Borne/Born,Porter,intermediate
Beat,Beat,Beaten,Battre,beginner
Become,Became,Become,Devenir,beginner
Begin,Began,Begun,Commencer,beginner
Behold,Beheld,Beheld,Contempler,expert
Bend,Bent,Bent,Plier,intermediate
Bet,Bet,Bet,Parier,beginner
Bid,Bade/Bid,Bidden/Bid,Ordonner,expert
Bind,Bound,Bound,Lier,intermediate
Bite,Bit,Bitten,Mordre,intermediate
Bleed,Bled,Bled,Saigner,intermediate
Blow,Blew,Blown,Souffler,intermediate
Break,Broke,Broken,Casser,beginner
Breed,Bred,Bred,Élever,intermediate
Bring,Brought,Brought,Apporter,beginner
Build,Built,Built,Construire,beginner
Burn,Burnt/Burned,Burnt/Burned,Brûler,intermediate
Burst,Burst,Burst,Éclater,intermediate
Bust,Bust/Busted,Bust/Busted,Casser,intermediate
Buy,Bought,Bought,Acheter,beginner
Cast,Cast,Cast,Jeter,intermediate
Catch,Caught,Caught,Attraper,beginner
Choose,Chose,Chosen,Choisir,beginner
Cling,Clung,Clung,S'accrocher,intermediate
Clothe,Clad,Clad,Vêtir,expert
Come,Came,Come,Venir,beginner
Cost,Cost,Cost,Coûter,beginner
Creep,Crept,Crept,Ramper,intermediate
Cut,Cut,Cut,Couper,beginner
Deal,Dealt,Dealt,Distribuer/Traiter,beginner
Dig,Dug,Dug,Creuser,intermediate
Dive,Dove/Dived,Dove/Dived,Plonger,intermediate
Do,Did,Done,Faire,beginner
Draw,Drew,Drawn,Dessiner,beginner
Dream,Dreamt/Dreamed,Dreamt/Dreamed,Rêver,beginner
Drink,Drank,Drunk,Boire,beginner
Drive,Drove,Driven,Conduire,beginner
Dwell,Dwelt,Dwelt,Habiter,expert
Eat,Ate,Eaten,Manger,beginner
Fall,Fell,Fallen,Tomber,beginner
Feed,Fed,Fed,Nourrir,intermediate
Feel,Felt,Felt,Sentir,beginner
Fight,Fought,Fought,Se battre,beginner
Find,Found,Found,Trouver,beginner
Fit,Fit,Fit,S'adapter,beginner
Flee,Fled,Fled,S'enfuir,intermediate
Fling,Flung,Flung,Lancer,intermediate
Fly,Flew,Flown,Voler,beginner
Forbid,Forbade,Forbidden,Interdire,intermediate
Foresee,Foresaw,Foreseen,Prévoir,intermediate
Forget,Forgot,Forgotten,Oublier,beginner
Forgive,Forgave,Forgiven,Pardonner,beginner
Forsake,Forsook,Forsaken,Abandonner,expert
Freeze,Froze,Frozen,Geler,intermediate
Frostbite,Frostbit,Frostbitten,Geler (gelure),expert
Get,Got,Got/Gotten,Obtenir,beginner
Give,Gave,Given,Donner,beginner
Go,Went,Gone,Aller,beginner
Grind,Ground,Ground,Broyer,intermediate
Grow,Grew,Grown,Grandir,beginner
Handwrite,Handwrote,Handwritten,Écrire à la main,intermediate
Hang,Hung,Hung,Pendre/Accrocher,beginner
Have,Had,Had,Avoir,beginner
Hear,Heard,Heard,Entendre,beginner
Hide,Hid,Hidden,Cacher,intermediate
Hit,Hit,Hit,Frapper,beginner
